Aktion \ zu,Jolt,Riposte,Verthunder,Corps-a-corps,Veraero,Scatter,Verfire,Verstone,Zwerchhau,Moulinet,Vercure,Displacement,Redoublement,Fleche,Acceleration,Contre Sixte,Embolden,Manafication,Verraise,Jolt II,Verflare,Verholy,Enchanted Riposte,Enchanted Zwerchhau,Enchanted Redoublement,Enchanted Moulinet,Verthunder II,Veraero II,Impact,Engagement,Enchanted Reprise,Reprise,Scorch,Verthunder III,Veraero III,Magick Barrier,Resolution,Enchanted Moulinet Deux,Enchanted Moulinet Trois,Jolt III,Vice of Thorns,Grand Impact,Prefulgence,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Embolden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manafication,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verraise,s,g,,,,,,,g,,s,,,,,,,,,,,,,,,,,,,,,,g,,,,g,,,,,,,,,,,,
Jolt II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,
Verflare,,,,,,,,,,,,,c,,,,,,,,,,,,c,,,,,,,,,,,,,,c,,,,,,,,,,
Verholy,,,,,,,,,,,,,c,,,,,,,,,,,,c,,,,,,,,,,,,,,c,,,,,,,,,,
Enchanted Riposte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted Zwerchhau,,C,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted Redoublement,,,,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted Moulinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,
Verthunder II,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veraero II,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,K,,,,,,,
Engagement,,,,,,,,,,,,A,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted Reprise,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,r,,
Reprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,
Scorch,,r,,,,,c,,r,,,,,,,,,,,,C,Cc,,,,,,,,,,,,,,,Kr,,,,,,,,,,,,
Verthunder III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veraero III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magick Barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,r,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,Ccr,,,,,,,,,,,,,,,,
Enchanted Moulinet Deux,,,,,,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,K,,,,,,,,,,
Enchanted Moulinet Trois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,
Jolt III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,
Vice of Thorns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Impact,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,r,,
Prefulgence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftcast,,,r,,r,,,,,,,,,,r,,r,,,,,,,,,,,,,,r,,,r,r,,,,,,,r,,,,,,,
Lucid Dreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
